id,name,category,state,flag,status,evidence,other_matches
1,Calentamiento - Bienvenida,Calentamiento,visible,CUH{cuh_ctf_2026_ok},verified_source_script,refresh_assets/normalizar_formato_flags_y_reset.sh,
2,Leer también es hacking,Calentamiento,visible,CUH{leer_hasta_el_final_tiene_premio},verified_source_script,refresh_assets/pages/index.html,tmp_update_leer_flag.py; tmp_update_leer_flag_sql.py
3,Robots curiosos,Web,visible,CUH{robots_no_guardan_secretos},registered_only,page_overhaul_remote.py,
4,Base64 no es cifrado,Criptografía,visible,CUH{base64_es_solo_codificacion},registered_only,audit_description_flag_alignment.py,
5,César escolar,Criptografía,visible,CUH{cesar_es_inicio},registered_only,audit_description_flag_alignment.py,
6,Puertas abiertas,Reconocimiento,visible,CUH{escanear_antes_de_interpretar},verified_effective_source,CTF_CUH/01_escaneo_de_puertos_puertas_abiertas/server_31337.py,CTF_CUH/01_escaneo_de_puertos_puertas_abiertas/DATOS_CTFD.md; CTF_CUH/01_escaneo_de_puertos_puertas_abiertas/README_ORGANIZADOR.md
7,Metadatos indiscretos,OSINT,visible,CUH{los_metadatos_hablan},registered_only,,
8,Comandos Linux - búsqueda básica,Linux,visible,CUH{linux_tambien_se_investiga},verified_effective_source,CTF_CUH/02_comandos_linux_busqueda_basica/reto_linux/evidencia/oculto/flag.txt,CTF_CUH/02_comandos_linux_busqueda_basica/verify_organizer.py; CTF_CUH/02_comandos_linux_busqueda_basica/DATOS_CTFD.md
9,Logo en observación,Forense,visible,CUH{el_logo_tambien_documenta},registered_only,,
10,Portada con pista,OSINT,visible,CUH{la_portada_si_tenia_pistas},registered_only,,
11,Cabeceras del laboratorio,Web,visible,CUH{las_cabeceras_tambien_informan},registered_only,,
12,JSON de prueba,Web,visible,CUH{las_respuestas_json_tambien_guian},registered_only,,
13,Bitácora del proxy,Forense,visible,CUH{los_logs_tambien_cuentan},registered_only,,
14,Hash filtrado,Cracking,visible,CUH{pin_2603},verified_source_script,refresh_assets/normalizar_formato_flags_y_reset.sh,
15,ZIP bajo llave,Cracking,visible,CUH{zip_con_clave_debil},registered_only,,
16,Acceso heredado,Cracking,visible,CUH{basic_auth_tambien_se_audita},registered_only,,
17,Registro sin servidor,Web,visible,CUH{el_servidor_tambien_debe_validar},verified_source_script,.tmp_deploy_forms_remote.sh,
18,Encuesta confiada,Web,visible,CUH{nunca_confies_en_campos_ocultos},verified_source_script,.tmp_deploy_forms_remote.sh,
19,Invitado privilegiado,Web,visible,CUH{el_payload_no_se_debe_confiar},registered_only,,
20,Secreto compartido debil,Web,visible,CUH{hs256_necesita_secretos_reales},registered_only,,
21,Fuente principal,Web,visible,CUH{el_codigo_fuente_tambien_orienta},verified_source_script,refresh_assets/validar_fuente_principal.sh,user-preview.html
22,Consola curiosa,Web,visible,CUH{la_consola_tambien_revela_pistas},registered_only,user-preview.html,
23,Cookie de rol,Web,visible,CUH{las_cookies_tambien_autorizan},registered_only,,
24,Cookie firmada debil,Web,visible,CUH{firmar_cookies_importa},registered_only,,
25,Acceso por defecto,Cracking,visible,CUH{la_fuerza_bruta_tambien_es_contexto},verified_source_script,make_bruteforce_assets.py,bruteforce_deploy.sh
29,Formulario de acceso,Cracking,visible,CUH{hydra_tambien_necesita_precision},verified_source_script,make_bruteforce_assets.py,bruteforce_deploy.sh
30,Consulta concatenada,Web,visible,CUH{consulta_concatenada_corregida},verified_effective_source,CTF_CUH/03_consulta_concatenada/bundle/challenge.json,CTF_CUH/03_consulta_concatenada/verify_organizer.py; CTF_CUH/03_consulta_concatenada/DATOS_CTFD.md
31,Reportes sin parámetros,Web,visible,CUH{reportes_filtrados_con_parametros},verified_effective_source,CTF_CUH/04_reportes_sin_parametros/bundle/challenge.json,CTF_CUH/04_reportes_sin_parametros/verify_organizer.py; CTF_CUH/04_reportes_sin_parametros/DATOS_CTFD.md
32,Portal PHP heredado,Web,visible,CUH{portal_php_heredado_endurecido},verified_effective_source,CTF_CUH/05_portal_php_heredado/bundle/challenge.json,CTF_CUH/05_portal_php_heredado/verify_organizer.py; CTF_CUH/05_portal_php_heredado/DATOS_CTFD.md
33,Incidente en formularios,Forense,visible,CUH{incidente_de_formularios_reconstruido},verified_effective_source,CTF_CUH/06_incidente_en_formularios/bundle/challenge.json,CTF_CUH/06_incidente_en_formularios/verify_organizer.py; CTF_CUH/06_incidente_en_formularios/DATOS_CTFD.md
34,Sesión que confía demasiado,Auth,visible,CUH{rol_de_sesion_validado_en_backend},verified_effective_source,CTF_CUH/07_sesion_que_confia_demasiado/bundle/challenge.json,CTF_CUH/07_sesion_que_confia_demasiado/verify_organizer.py; CTF_CUH/07_sesion_que_confia_demasiado/DATOS_CTFD.md
35,Cookie de rol heredada,Auth,visible,CUH{cookie_de_rol_endurecida},verified_effective_source,CTF_CUH/08_cookie_de_rol_heredada/bundle/challenge.json,CTF_CUH/08_cookie_de_rol_heredada/verify_organizer.py; CTF_CUH/08_cookie_de_rol_heredada/DATOS_CTFD.md
36,JWT sin audiencia,Auth,visible,CUH{jwt_con_validacion_completa},verified_effective_source,CTF_CUH/09_jwt_sin_audiencia/bundle/challenge.json,CTF_CUH/09_jwt_sin_audiencia/verify_organizer.py; CTF_CUH/09_jwt_sin_audiencia/DATOS_CTFD.md
37,Restablecimiento abierto,Auth,visible,CUH{token_de_reset_endurecido},verified_effective_source,CTF_CUH/10_restablecimiento_abierto/bundle/challenge.json,CTF_CUH/10_restablecimiento_abierto/verify_organizer.py; CTF_CUH/10_restablecimiento_abierto/DATOS_CTFD.md
38,Subida de archivos ansiosa,Web,visible,CUH{subida_de_archivos_endurecida},verified_effective_source,CTF_CUH/11_subida_de_archivos_ansiosa/bundle/challenge.json,CTF_CUH/11_subida_de_archivos_ansiosa/verify_organizer.py; CTF_CUH/11_subida_de_archivos_ansiosa/DATOS_CTFD.md
39,Traversal en miniatura,Web,visible,CUH{rutas_normalizadas_y_resueltas},verified_effective_source,CTF_CUH/12_traversal_en_miniatura/bundle/challenge.json,CTF_CUH/12_traversal_en_miniatura/verify_organizer.py; CTF_CUH/12_traversal_en_miniatura/DATOS_CTFD.md
40,Portal defaceado en PHP,Forense,visible,CUH{deface_reconstruido_y_contenido},verified_effective_source,CTF_CUH/13_portal_defaceado_en_php/bundle/challenge.json,CTF_CUH/13_portal_defaceado_en_php/verify_organizer.py; CTF_CUH/13_portal_defaceado_en_php/DATOS_CTFD.md
41,Cabeceras que revelan de más,Web,visible,CUH{cabeceras_endurecidas},verified_effective_source,CTF_CUH/14_cabeceras_que_revelan_de_mas/bundle/challenge.json,CTF_CUH/14_cabeceras_que_revelan_de_mas/verify_organizer.py; CTF_CUH/14_cabeceras_que_revelan_de_mas/DATOS_CTFD.md
42,Prompt de soporte indiscreto,IA defensiva,visible,CUH{prompt_de_soporte_endurecido},verified_effective_source,CTF_CUH/15_prompt_de_soporte_indiscreto/bundle/challenge.json,CTF_CUH/15_prompt_de_soporte_indiscreto/verify_organizer.py; CTF_CUH/15_prompt_de_soporte_indiscreto/DATOS_CTFD.md
43,Recuperación de contexto,IA defensiva,visible,CUH{contexto_filtrado_y_mitigado},verified_effective_source,CTF_CUH/16_recuperacion_de_contexto/bundle/challenge.json,CTF_CUH/16_recuperacion_de_contexto/verify_organizer.py; CTF_CUH/16_recuperacion_de_contexto/DATOS_CTFD.md
